Id,Title,Labels,Iteration,Iteration Start,Iteration End,Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Description,URL,Owned By
155553546,Create a new reaction theme for shop,"",,,,feature,,unscheduled,"Feb 27, 2018",,,Mark Edomwande,"New theme for shop
Email template should reflect new theme design",https://www.pivotaltracker.com/story/show/155553546,
155553368,On-boarding tour for customers,"",,,,feature,,unscheduled,"Feb 27, 2018",,,Mark Edomwande,Customers should be taken through a tour of the store,https://www.pivotaltracker.com/story/show/155553368,
152797403,Improved Media Gallery,"",,,,feature,,unscheduled,"Nov 13, 2017",,,Mark Edomwande,,https://www.pivotaltracker.com/story/show/152797403,
152797153,Ratings and Review,"",,,,feature,,unscheduled,"Nov 13, 2017",,,Mark Edomwande,"'Ratings and reviews for
-  Individual products
-  Shops",https://www.pivotaltracker.com/story/show/152797153,
152350057,Vendors should effectively be onboarded to the app ,"",,,,feature,,unscheduled,"Oct 19, 2016",,,Mark Edomwande,Vendors should be taken through an initial setup process. e.g Add their first product,https://www.pivotaltracker.com/story/show/152350057,
152350060,"Add ""cancel order"" option. ","",,,,feature,,unscheduled,"Oct 19, 2016",,,Mark Edomwande,[#1238](https://github.com/reactioncommerce/reaction/issues/1238),https://www.pivotaltracker.com/story/show/152350060,
152350063,Payment,"",,,,feature,,unscheduled,"Oct 19, 2016",,,Mark Edomwande,"'-  Integrate paystack as one of the payment options.
-  Wallets.
-  Consumer to consumer funds transfer.
",https://www.pivotaltracker.com/story/show/152350063,
152350064,Embed Social Content,"",,,,feature,,unscheduled,"Oct 19, 2016",,,Mark Edomwande,"Embed reviews, tweets, and other social content",https://www.pivotaltracker.com/story/show/152350064,
152350065,Actionable Analytics,"",,,,feature,,unscheduled,"Oct 19, 2016",,,Mark Edomwande,"Data driven product presentation, and performance analysis.",https://www.pivotaltracker.com/story/show/152350065,
152350066,Static Page Management,"",,,,feature,,unscheduled,"Oct 19, 2016",,,Mark Edomwande,"Create and edit static pages, such as Contact, About, or Support.",https://www.pivotaltracker.com/story/show/152350066,
152350068,Digital Products,"",,,,feature,,unscheduled,"Oct 19, 2016",,,Mark Edomwande,"Sell digital goods independently, or mixed with physical goods.",https://www.pivotaltracker.com/story/show/152350068,
152350061,Implement sorting and filtering of search results.,"",,,,feature,,unscheduled,"Oct 19, 2016",,,Mark Edomwande,"After a search is completed, a user should be able to further refine through sorting and filtering. [#277](https://github.com/reactioncommerce/reaction/issues/277)",https://www.pivotaltracker.com/story/show/152350061,
